fid,공공문화체육
6887,1
6888,1
6889,0
6890,0
6891,1
6892,0
6893,1
6894,1
6895,1
6896,2
6897,0
6898,1
6899,1
6900,0
6902,0
6903,0
6904,0
6958,1
6959,0
6960,0
6961,2
6962,0
6963,0
6964,5
6965,0
6966,0
6967,1
6968,0
6969,0
6970,0
6971,0
6972,0
6973,0
6974,0
6975,1
6976,0
6977,0
6978,0
6979,0
7034,1
7035,0
7036,1
7037,1
7038,1
7039,0
7040,1
7041,0
7042,0
7043,0
7044,0
7045,0
7046,0
7047,1
7048,3
7049,1
7050,1
7051,1
7052,1
7053,1
7054,4
7055,2
7056,0
7109,2
7110,2
7111,2
7112,1
7113,0
7114,0
7115,1
7116,1
7117,0
7118,0
7119,1
7120,0
7121,0
7122,1
7123,0
7124,0
7125,1
7126,0
7127,2
7128,3
7129,2
7130,0
7186,0
7187,1
7188,1
7189,1
7190,2
7191,0
7192,0
7193,3
7194,1
7195,1
7196,0
7199,0
7200,1
7201,0
7202,0
7203,0
7204,1
7205,0
7206,0
7261,3
7262,0
7263,1
7264,0
7265,0
7266,0
7267,0
7268,2
7269,0
7270,1
7276,1
7277,1
7278,0
7279,0
7281,1
7337,0
7338,0
7339,1
7340,0
7341,0
7342,1
7343,1
7344,2
7345,1
7352,0
7353,0
7354,2
7355,6
7356,1
7412,1
7413,2
7414,2
7415,0
7416,0
7417,0
7418,0
7428,1
7429,1
7430,3
7431,0
7432,2
7488,1
7489,4
7490,1
7491,1
7505,0
7506,3
7507,1
7563,0
7564,1
7565,1
7566,0
7581,2
7582,1
7638,0
7639,2
7640,5
7641,1
7642,0
7643,1
7714,0
7715,2
7716,0
7717,0
7718,1
7791,0
7792,2
7793,2
7794,3
7795,0
7864,0
7867,1
7868,2
7869,1
7870,1
7941,0
7943,1
7944,0
7945,2
7946,0
8020,3
8021,1
