fid,도로길이,도로개수
2631,1530.60617939706,14
2632,2449.40578353272,26
2633,1467.12972724949,19
2634,4884.83377080401,77
2635,3682.27244048595,42
2636,2814.33542810543,28
2637,1333.15243900883,12
2638,6066.73561723886,93
2639,3366.22419764321,37
2640,5367.14673929997,57
2641,4149.43640069413,52
2642,4857.32679261593,62
2643,5962.52677692344,84
2644,3858.58213611696,30
2645,3918.01589584053,34
2646,4608.53713595054,43
2647,4645.69540506258,63
2648,4829.5735619702,72
2649,4633.81162035153,71
2650,5113.98046130057,80
2651,5787.28946237619,90
2652,5416.6186639178,97
2653,4863.7299594222,53
2654,2637.97320055231,25
2655,1104.94719734007,11
2656,628.924853113465,6
2657,2729.20040439903,14
2691,930.606354868172,10
2692,1406.77808890726,19
2693,2167.97881145234,20
2694,4248.3290799952,38
2695,2414.63008955661,28
2696,2292.64127741814,18
2697,1721.15110994646,22
2698,3673.73515279987,27
2699,5232.30867151117,69
2700,5686.44293549706,85
2701,4986.37450571017,66
2706,3627.31671561486,30
2707,2299.76786716998,21
2708,2832.26841819064,36
2709,3506.76332703008,41
2710,4589.2486051955,47
2711,2725.44997174345,34
2712,3021.03768153733,43
2713,5334.65139105139,69
2714,6491.80189359359,96
2715,3513.03465490171,39
2716,6258.5830791601,94
2717,4917.2511515914,65
2718,4818.45993147507,62
2719,3455.1544462663,40
2720,4562.4738346652,36
2721,4104.68309480436,48
2722,4590.15445272343,59
2723,4003.84826323299,56
2724,5937.38134536612,82
2725,6248.0916967304,84
2726,4715.69669296931,62
2727,5280.78932004806,95
2728,4864.86357812058,83
2729,5424.91446339315,78
2730,5321.11124192571,83
2731,1849.35807239387,20
2732,3797.64349897918,36
2760,2940.15382113981,29
2761,2499.92431031519,29
2762,1642.7435483245,12
2763,2905.19883274783,30
2764,3611.39000571592,36
2765,3431.68281310069,33
2766,3486.39618170906,38
2767,2522.46682629915,28
2768,2816.36468826401,32
2769,4232.6795435625,39
2770,5276.76585050295,65
2771,2566.39887966344,39
2772,858.395667470522,4
2773,3796.37888553298,44
2774,5497.65829566009,46
2775,3837.60700249623,59
2776,4934.15982715132,59
2777,5841.91671605961,69
2778,5523.00679106978,72
2779,2428.0609095456,19
2784,2584.12880398083,16
2785,4086.92496658543,36
2786,4425.35030613354,54
2787,5333.48756346598,61
2788,2686.7431229047,40
2789,6644.69746158813,112
2790,6352.34090022997,114
2791,2020.54682588625,22
2792,3097.95967612359,32
2793,4073.59464473742,46
2794,2225.44179877962,19
2795,4367.84340310831,51
2796,4401.80593410182,43
2797,4488.45150016565,52
2798,3152.47241150866,50
2799,1639.07443636578,26
2800,495.1359487918,6
2801,1357.6048033051,14
2802,608.525088857796,9
2803,4486.77544274199,60
2804,1832.01886319882,33
2805,4775.62633611366,74
2806,4934.28257251127,80
2834,2336.79466516218,19
2835,3556.51166780679,48
2836,4017.15812270546,41
2837,3414.70089483009,33
2838,4006.43552490664,39
2839,3715.61550948296,43
2840,3287.25319448094,37
2841,3948.98653023582,41
2842,1555.53259518767,23
2843,4599.02261927211,45
2844,4548.61651904865,52
2845,4658.7713089731,68
2846,5030.26347323673,70
2847,1090.7884951181,8
2848,1719.90587490634,17
2849,3979.67440331754,44
2850,4222.63237514813,36
2851,1845.64984543492,23
2852,4841.79608962337,61
2853,4444.3495444702,55
2854,3459.88969008348,31
2855,3665.20056717396,46
2859,605.995324628411,2
2860,1389.90262618391,5
2861,2612.89365478786,13
2862,3043.55217962888,19
2863,3321.28434913288,28
2864,6418.97399096511,119
2865,5377.86894041938,83
2866,5155.64956998931,69
2867,1125.4356189322,8
2868,3341.77608062839,40
2869,1787.37555105352,11
2870,1071.33475642558,10
2871,5490.3010327029,77
2872,4983.72593287954,62
2873,4339.12962999075,57
2874,3004.20635992856,40
2875,2570.39364119746,22
2876,632.493531159004,5
2877,236.221310055343,1
2878,1992.05416626299,32
2880,97.5655530756871,3
2881,4301.64550652204,62
2909,4550.50471860652,43
2910,4904.52869159441,53
2911,4220.68695975034,48
2912,4429.05611584988,63
2913,3453.0804553094,33
2914,3642.76625045644,46
2915,3572.11399171471,43
2916,3299.48151352579,41
2917,3812.7457955366,29
2918,4849.31284763672,41
2919,4598.13935010061,42
2920,4756.03894212935,53
2921,4857.82349452819,56
2922,4575.56975664411,63
2923,1479.744958565,17
2924,930.477646306055,7
2925,3768.01057433098,34
2926,5500.45581242333,63
2927,4351.82840288586,55
2928,5004.07189508226,55
2929,4492.99244484355,48
2930,3940.63648099639,40
2931,4667.40788653937,64
2932,2293.68703967463,26
2935,724.892784584727,2
2936,659.845032036736,5
2937,1034.11058806675,5
2938,1468.01984905601,7
2939,2363.55797413013,12
2940,3990.81795828225,49
2941,6083.13768154393,82
2942,2746.24949444981,40
2943,1297.06842177809,10
2944,3698.61917378614,47
2945,4282.41038437977,41
2946,1316.84407782281,9
2947,3155.17488836186,30
2948,5935.44449549576,73
2949,4405.61451555417,50
2950,1979.73518326937,23
2951,5403.45287062023,69
2952,2347.78932880905,34
2954,2515.25036499649,56
2955,2145.46600471673,39
2957,768.634412317591,9
2958,1028.52777347191,7
2981,1801.64616746287,6
2985,4479.44223145302,50
2986,4617.90995510316,51
2987,4034.17135834941,48
2988,4105.86740724016,44
2989,4045.71345814133,45
2990,4763.10770524133,56
2991,3844.00885060768,48
2992,3464.25689077319,38
2993,2288.98133696311,23
2994,4252.95042781818,43
2995,3515.47458352684,44
2996,4212.32038085489,46
2997,4927.57376982221,65
2998,1503.39596298404,14
2999,2460.1259954309,27
3000,3455.53399957334,36
3001,3505.66578128318,43
3002,3974.88607488528,52
3003,5436.03040498683,74
3004,4480.09060822117,49
3005,4510.75030918236,46
3006,4787.46197852305,53
3007,4493.21610807106,53
3011,1430.41933171924,7
3012,1976.52312819687,12
3013,1222.22554650445,5
3014,1444.38962778973,7
3015,2012.89875138699,14
3016,5256.08267059866,68
3017,5570.07618897475,85
3018,2650.55130432679,39
3019,3159.78849675415,26
3020,5078.85909660179,51
3021,1592.26530383792,22
3022,1070.8514684523,5
3023,5765.72111232498,57
3024,4817.574148152,70
3025,2196.95373233819,27
3026,3575.53718842903,46
3027,5570.40054430266,61
3028,4994.61270357175,77
3029,3910.32033265605,56
3030,825.29681759732,13
3031,642.270380099298,2
3033,782.879122151597,3
3062,4136.99875207704,50
3063,4340.46839473604,45
3064,3543.73956235886,33
3065,4117.29131389788,49
3066,4172.54918990508,42
3067,3633.80192810333,42
3068,3317.47733762685,34
3069,4021.89375186795,38
3070,2401.69077989464,22
3071,1008.05975531515,3
3072,1589.03889917496,19
3073,3986.15162253538,51
3074,3675.94757150368,57
3075,5969.93146316944,81
3076,4177.10070562753,49
3078,5319.24046450391,62
3079,5368.4152981282,65
3080,4523.26050517847,51
3081,3847.72980070093,38
3082,3077.7523109225,35
3083,4079.68964113361,54
3088,2115.15221242219,9
3089,808.131273500872,4
3090,1416.58784839835,7
3091,1256.96482286609,6
3092,3442.75272693291,39
3093,3523.24248728886,24
3094,1901.37869112549,14
3095,3784.465256064,37
3096,3579.63466416745,43
3097,4753.61071490147,55
3098,1916.48464182034,21
3099,3498.59629079081,43
3100,6448.32178176831,84
3101,6320.56192740929,76
3102,3820.76702209279,58
3103,4016.79028098371,37
3104,1233.56091683823,27
3105,4535.5955449278,56
3106,289.355189106849,1
3107,876.222298314843,3
3108,82.1458394016942,1
3134,300.490167019031,1
3137,4171.68408271822,48
3138,4501.82070871116,46
3139,2200.01384301713,24
3140,1444.89322158692,12
3141,3977.99867893231,39
3142,4654.61778272345,53
3143,2619.20385845249,26
3144,2993.58942490827,32
3149,3104.23361081837,38
3150,5479.08131471148,74
3151,3823.45506876175,37
3152,4516.78105406753,50
3153,4271.8402703237,56
3154,5096.58364253612,54
3155,4963.13052511756,55
3156,5298.8421547402,75
3157,3824.08587634585,40
3158,1004.7323854889,12
3159,2662.20942729023,25
3164,1138.3201282234,5
3165,1503.14420355412,9
3166,2225.35311715645,11
3167,1833.26539641026,9
3168,2542.48744068095,19
3169,988.130090682494,8
3170,425.206036532547,1
3171,2665.67083569739,27
3172,4308.779946633,45
3173,3774.06651712548,49
3174,4637.67253790768,68
3175,5153.46669771843,76
3176,5333.31768898236,67
3177,5477.31386773262,58
3178,4915.74145937688,65
3179,281.877193042074,5
3180,3229.51302976746,38
3181,2808.8394526099,48
3182,1271.52616009086,16
3183,2222.27241923827,19
3212,1169.40816501313,5
3215,1821.65944793814,18
3216,3135.8497994002,36
3217,3365.36939930468,32
3218,2807.71850096313,27
3219,3396.85323143363,35
3220,2790.39985881956,24
3221,686.83199654958,7
3223,570.832802249603,11
3224,2499.8138345409,30
3226,2564.917456021,26
3227,4857.48163457568,52
3228,2628.38770178318,28
3229,4194.55831793617,46
3230,4231.65426078025,50
3231,3145.2309335738,44
3232,4655.47602677372,66
3233,5331.57095350171,75
3234,1389.6832618493,11
3235,3416.68531567268,35
3236,3400.45817201318,32
3241,966.306046027658,4
3242,1202.9916945429,6
3243,1919.0339545847,10
3244,1422.72061971137,4
3245,2550.24472583521,21
3246,2398.72664597335,32
3247,1853.69534122061,24
